calcimycin,d03.633.100.221.173
"receptors, artificial",d12.776.826.387
"receptors, artificial",j01.637.087.750
atrial pressure,g09.330.040.600
atrial pressure,g09.330.380.037
arterial pressure,g09.330.380.076.347
spinal cord stimulation,e02.331.699
spinal cord stimulation,e02.779.468.699
spinal cord stimulation,e02.831.535.468.699
strategic stockpile,n05.300.420.700
strategic stockpile,n06.230.100.035.500
spatial analysis,e05.318.740.933
spatial analysis,n05.715.360.750.746
spatial analysis,n06.850.520.830.933
brain-computer interfaces,e07.305.076
patient handoff,e02.760.169.249
patient handoff,e02.760.400.615
patient handoff,n02.421.585.169.249
patient handoff,n02.421.585.400.615
patient handoff,n04.590.233.727.210.249
patient handoff,n05.715.840.500
personal narrative,v01.175.500
personal narrative,v02.170.750
personal narrative,v02.530.150.750
spatio-temporal analysis,e05.318.740.933.500
spatio-temporal analysis,n05.715.360.750.746.500
spatio-temporal analysis,n06.850.520.830.933.500
rxnorm,l01.453.245.945.550
health insurance exchanges,n03.219.521.576.343.918.500
geographic mapping,e05.318.389
geographic mapping,e05.318.740.933.249
geographic mapping,n05.715.360.750.746.249
geographic mapping,n06.850.520.830.933.249
"geography, medical",h01.277.500.097
"geography, medical",h02.403.352
medical device legislation,n03.706.615.473.500
optogenetics,e05.393.667
community integration,i01.880.787.354
islands,g16.500.275.505
islands,n06.230.295
islands,z01.639
"databases, pharmaceutical",l01.313.500.750.300.188.400.400
"databases, pharmaceutical",l01.470.750.750.400
intense pulsed light therapy,e02.774.465
re-epithelialization,g04.753
re-epithelialization,g13.750.726
re-epithelialization,g16.762.891.750
skin lightening preparations,d27.720.269.750
skin lightening preparations,j01.516.213.500
nuclear microscopy,e01.370.350.515.744
nuclear microscopy,e05.595.744
molecular medicine,h01.158.201.636.475
molecular medicine,h01.158.273.343.595.475
molecular medicine,h01.181.122.650.475
molecular medicine,h02.403.530
aminobenzoates,d02.241.223.100.050
aminobenzoates,d02.455.426.559.389.127.020
para-aminobenzoates,d02.241.223.100.050.500
para-aminobenzoates,d02.455.426.559.389.127.020.937
ortho-aminobenzoates,d02.241.223.100.050.400
ortho-aminobenzoates,d02.455.426.559.389.127.020.906
meta-aminobenzoates,d02.241.223.100.050.300
meta-aminobenzoates,d02.455.426.559.389.127.020.452
hydroxybenzoates,d02.241.223.100.300
hydroxybenzoates,d02.241.511.390
hydroxybenzoates,d02.455.426.559.389.127.281
hydroxybenzoates,d02.455.426.559.389.657.410
motivational interviewing,f02.784.176.279.500
motivational interviewing,f04.408.413.349.500
motivational interviewing,n02.421.461.363.349.500
fukushima nuclear accident,k01.400.504.984.186
fukushima nuclear accident,n06.850.135.848.750
meals,g07.203.300.590
meals,j02.500.590
breakfast,g07.203.300.590.120
breakfast,j02.500.590.120
lunch,g07.203.300.590.560
lunch,j02.500.590.560
snacks,g07.203.300.590.780
snacks,j02.500.590.780
hydroxybenzoate ethers,d02.241.223.100.300.350
hydroxybenzoate ethers,d02.241.511.390.350
hydroxybenzoate ethers,d02.355.726.675
hydroxybenzoate ethers,d02.455.426.559.389.127.281.350
hydroxybenzoate ethers,d02.455.426.559.389.657.654.638
claudin-1,d12.776.543.940.200.100
claudin-2,d12.776.543.940.200.200
claudin-3,d12.776.543.940.200.300
breath holding,g09.772.705.349
public health surveillance,e05.318.308.980.438.700.324
public health surveillance,n05.715.360.300.800.438.625.324
public health surveillance,n06.850.520.308.980.438.700.324
public health surveillance,n06.850.780.675.487
social marginalization,f01.145.813.817
social marginalization,i01.880.853.872
health impact assessment,e05.318.308.237
health impact assessment,n03.349.380.210.500
value-based purchasing,n03.219.521.576.343.981
claudin-4,d12.776.543.940.200.400
claudin-5,d12.776.543.940.200.500
narrative therapy,f04.754.570
patient navigation,n04.590.233.727.407.500
meaningful use,n04.761.744.500
medicalization,i01.880.853.250
voltage-gated sodium channel beta subunits,d12.776.157.530.400.875.750.960
voltage-gated sodium channel beta subunits,d12.776.543.550.450.875.750.970
voltage-gated sodium channel beta subunits,d12.776.543.585.400.875.750.970
voltage-gated sodium channel beta subunits,d12.776.631.960.970
voltage-gated sodium channel beta-1 subunit,d12.776.157.530.400.875.750.960.100
voltage-gated sodium channel beta-1 subunit,d12.776.543.550.450.875.750.970.100
voltage-gated sodium channel beta-1 subunit,d12.776.543.585.400.875.750.970.100
voltage-gated sodium channel beta-1 subunit,d12.776.631.960.970.100
voltage-gated sodium channel beta-2 subunit,d12.776.157.530.400.875.750.960.200
voltage-gated sodium channel beta-2 subunit,d12.776.543.550.450.875.750.970.200
voltage-gated sodium channel beta-2 subunit,d12.776.543.585.400.875.750.970.200
voltage-gated sodium channel beta-2 subunit,d12.776.631.960.970.200
voltage-gated sodium channel beta-3 subunit,d12.776.157.530.400.875.750.960.300
voltage-gated sodium channel beta-3 subunit,d12.776.543.550.450.875.750.970.300
voltage-gated sodium channel beta-3 subunit,d12.776.543.585.400.875.750.970.300
voltage-gated sodium channel beta-3 subunit,d12.776.631.960.970.300
nav1.1 voltage-gated sodium channel,d12.776.157.530.400.875.750.100
nav1.1 voltage-gated sodium channel,d12.776.543.550.450.875.750.100
nav1.1 voltage-gated sodium channel,d12.776.543.585.400.875.750.100
nav1.1 voltage-gated sodium channel,d12.776.631.960.100
nav1.2 voltage-gated sodium channel,d12.776.157.530.400.875.750.200
nav1.2 voltage-gated sodium channel,d12.776.543.550.450.875.750.200
nav1.2 voltage-gated sodium channel,d12.776.543.585.400.875.750.200
nav1.2 voltage-gated sodium channel,d12.776.631.960.200
nav1.3 voltage-gated sodium channel,d12.776.157.530.400.875.750.300
nav1.3 voltage-gated sodium channel,d12.776.543.550.450.875.750.300
nav1.3 voltage-gated sodium channel,d12.776.543.585.400.875.750.300
nav1.3 voltage-gated sodium channel,d12.776.631.960.300
nav1.4 voltage-gated sodium channel,d12.776.157.530.400.875.750.400
nav1.4 voltage-gated sodium channel,d12.776.210.500.675
nav1.4 voltage-gated sodium channel,d12.776.543.550.450.875.750.400
nav1.4 voltage-gated sodium channel,d12.776.543.585.400.875.750.400
nav1.5 voltage-gated sodium channel,d12.776.157.530.400.875.750.500
nav1.5 voltage-gated sodium channel,d12.776.543.550.450.875.750.500
nav1.5 voltage-gated sodium channel,d12.776.543.585.400.875.750.500
nav1.5 voltage-gated sodium channel,d12.776.631.960.500
nav1.7 voltage-gated sodium channel,d12.776.157.530.400.875.750.700
nav1.7 voltage-gated sodium channel,d12.776.543.550.450.875.750.700
nav1.7 voltage-gated sodium channel,d12.776.543.585.400.875.750.700
nav1.7 voltage-gated sodium channel,d12.776.631.960.700
nav1.6 voltage-gated sodium channel,d12.776.157.530.400.875.750.600
nav1.6 voltage-gated sodium channel,d12.776.543.550.450.875.750.600
nav1.6 voltage-gated sodium channel,d12.776.543.585.400.875.750.600
nav1.6 voltage-gated sodium channel,d12.776.631.960.600
nav1.9 voltage-gated sodium channel,d12.776.157.530.400.875.750.900
nav1.9 voltage-gated sodium channel,d12.776.543.550.450.875.750.900
nav1.9 voltage-gated sodium channel,d12.776.543.585.400.875.750.900
nav1.9 voltage-gated sodium channel,d12.776.631.960.900
nav1.8 voltage-gated sodium channel,d12.776.157.530.400.875.750.800
nav1.8 voltage-gated sodium channel,d12.776.543.550.450.875.750.800
nav1.8 voltage-gated sodium channel,d12.776.543.585.400.875.750.800
nav1.8 voltage-gated sodium channel,d12.776.631.960.800
acid sensing ion channels,d12.776.157.530.400.875.050
acid sensing ion channels,d12.776.543.550.450.875.050
acid sensing ion channels,d12.776.543.585.400.875.050
acid sensing ion channels,d12.776.631.024
voltage-gated sodium channel beta-4 subunit,d12.776.157.530.400.875.750.960.650
voltage-gated sodium channel beta-4 subunit,d12.776.543.550.450.875.750.970.400
voltage-gated sodium channel beta-4 subunit,d12.776.543.585.400.875.750.970.650
voltage-gated sodium channel beta-4 subunit,d12.776.631.960.970.650
quillaja saponins,d09.408.782.512
tertiary care centers,n02.278.421.830
fungal capsules,a19.530
electronic nose,e07.230.210
electronic nose,e07.305.296
fungal polysaccharides,d09.698.357
fungal polysaccharides,d23.050.202.283
solid waste,d20.944.730
solid waste,n06.850.460.710.730
cystadenofibroma,c04.557.450.565.590.595.050.500
cystadenofibroma,c04.557.470.590.482
cystadenofibroma,c04.557.470.625.050.500
degenerin sodium channels,d12.776.157.530.400.875.100
degenerin sodium channels,d12.776.543.550.450.875.100
degenerin sodium channels,d12.776.543.585.400.875.100
percutaneous coronary intervention,e04.100.814.529.968
percutaneous coronary intervention,e04.502.382.968
acid sensing ion channel blockers,d27.505.519.562.750.100
epidemiological monitoring,e05.318.375
epidemiological monitoring,n06.850.520.460
vascular access devices,e07.132.750
steatocystoma multiplex,c16.131.831.350.856.500
steatocystoma multiplex,c16.320.850.250.856.500
steatocystoma multiplex,c17.800.529.594.500
steatocystoma multiplex,c17.800.804.350.856.500
steatocystoma multiplex,c17.800.827.250.856.500
epithelial sodium channel blockers,d27.505.519.562.750.374
epithelial sodium channel blockers,d27.505.696.560.500.726.100
sodium channel agonists,d27.505.519.562.625
buschke-lowenstein tumor,c02.256.650.810.217.500
buschke-lowenstein tumor,c02.800.801.220.500
buschke-lowenstein tumor,c02.825.810.110.500
buschke-lowenstein tumor,c02.928.914.217.500
buschke-lowenstein tumor,c04.557.470.200.450.500
buschke-lowenstein tumor,c04.557.470.700.450.500
buschke-lowenstein tumor,c17.800.838.790.810.110.500
lipoblastoma,c04.557.450.550.400.500
"vaccines, live, unattenuated",d20.215.894.882
adenovirus vaccines,d20.215.894.899.024
prodromal symptoms,c23.888.672
prodromal symptoms,e01.599
return to work,i03.946.449
return to work,n01.824.245.725
epithelial sodium channel agonists,d27.505.519.562.625.249
tight junction proteins,d12.776.543.940
junctional adhesion molecules,d12.776.395.550.200.537
junctional adhesion molecules,d12.776.543.550.200.537
junctional adhesion molecules,d12.776.543.940.600
junctional adhesion molecules,d23.050.301.350.537
coxsackie and adenovirus receptor-like membrane protein,d12.776.395.550.200.537.500
coxsackie and adenovirus receptor-like membrane protein,d12.776.543.550.200.537.500
coxsackie and adenovirus receptor-like membrane protein,d12.776.543.750.830.124
coxsackie and adenovirus receptor-like membrane protein,d12.776.543.940.600.500
coxsackie and adenovirus receptor-like membrane protein,d23.050.301.350.537.500
junctional adhesion molecule a,d12.776.395.550.200.537.750
junctional adhesion molecule a,d12.776.543.550.200.537.750
junctional adhesion molecule a,d12.776.543.750.400
junctional adhesion molecule a,d12.776.543.940.600.700
junctional adhesion molecule a,d23.050.301.350.537.750
junctional adhesion molecule b,d12.776.395.550.200.537.875
junctional adhesion molecule b,d12.776.543.550.200.537.875
junctional adhesion molecule b,d12.776.543.940.600.800
junctional adhesion molecule b,d23.050.301.350.537.875
hemiarthroplasty,e04.555.110.110.482
hemiarthroplasty,e04.650.110.482
hemiarthroplasty,e04.680.101.110.482
junctional adhesion molecule c,d12.776.395.550.200.537.937
junctional adhesion molecule c,d12.776.543.550.200.537.937
junctional adhesion molecule c,d12.776.543.940.600.900
junctional adhesion molecule c,d23.050.301.350.537.937
drug overdose,c25.775.383
drug overdose,e02.319.306.500.500
adenomyosis,c13.351.500.852.113
tobacco products,j01.637.767.844
optically stimulated luminescence dosimetry,e05.799.638.602
optically stimulated luminescence dosimetry,n06.850.810.370.365
marvel domain-containing proteins,d12.776.543.488
occludin,d12.776.543.488.500
occludin,d12.776.543.940.750
marvel domain containing 2 protein,d12.776.543.488.249
marvel domain containing 2 protein,d12.776.543.940.675
synaptogyrins,d12.776.543.488.750
synaptogyrins,d12.776.543.990.831
synaptogyrins,d12.776.631.775
myelin and lymphocyte-associated proteolipid proteins,d10.570.780.249
myelin and lymphocyte-associated proteolipid proteins,d12.776.543.488.374
myelin and lymphocyte-associated proteolipid proteins,d12.776.543.620.264
myelin and lymphocyte-associated proteolipid proteins,d12.776.543.990.681
myelin and lymphocyte-associated proteolipid proteins,d12.776.631.580.249
myelin and lymphocyte-associated proteolipid proteins,d12.776.816.249
zonula occludens proteins,d12.776.543.940.900
zonula occludens-1 protein,d12.776.543.940.900.500
zonula occludens-2 protein,d12.776.543.940.900.750
chloroacetates,d02.241.081.018.214
chloroacetates,d02.455.526.439.196
non-filarial lymphedema,c15.604.496.660
"diuretics, potassium sparing",d27.505.696.560.500.726
urinary catheters,e07.132.625
central venous catheters,e07.132.750.500
cardiac catheters,e07.132.750.249
oxaloacetic acid,d02.241.081.337.593.812.750
oxaloacetic acid,d02.241.755.648.750
rho-specific guanine nucleotide dissociation inhibitors,d12.644.360.325.225.500
rho-specific guanine nucleotide dissociation inhibitors,d12.776.476.325.225.500
rho guanine nucleotide dissociation inhibitor alpha,d12.644.360.325.225.500.100
rho guanine nucleotide dissociation inhibitor alpha,d12.776.476.325.225.500.100
rho guanine nucleotide dissociation inhibitor beta,d12.644.360.325.225.500.200
rho guanine nucleotide dissociation inhibitor beta,d12.776.476.325.225.500.200
rho guanine nucleotide dissociation inhibitor beta,d23.050.301.500.600.850
rho guanine nucleotide dissociation inhibitor beta,d23.050.705.552.600.700
rho guanine nucleotide dissociation inhibitor gamma,d12.644.360.325.225.500.300
rho guanine nucleotide dissociation inhibitor gamma,d12.776.476.325.225.500.300
endoreduplication,g05.226.820
stratospheric ozone,d01.362.670.600.500
stratospheric ozone,g16.500.275.063.700
stratospheric ozone,n06.230.300.100.700
cyclic gmp-dependent protein kinase type i,d08.811.913.696.620.682.700.150.150.500
cyclic gmp-dependent protein kinase type i,d12.644.360.200.150.500
cyclic gmp-dependent protein kinase type i,d12.776.476.200.150.500
ozone depletion,g16.500.785
ozone depletion,n06.230.300.100.700.500
cyclic gmp-dependent protein kinase type ii,d08.811.913.696.620.682.700.150.150.750
cyclic gmp-dependent protein kinase type ii,d12.644.360.200.150.750
cyclic gmp-dependent protein kinase type ii,d12.776.476.200.150.750
health services for transgender persons,n02.421.325
health information systems,l01.313.500.750.300.361
health information management,l01.399.500
dual medicaid medicare eligibility,n03.109
crowdsourcing,l01.399.250.179
patient medication knowledge,n02.421.726.407.229.500.500
organophosphonates,d02.705.429
organofluorophosphonates,d02.705.429.750
organothiophosphonates,d02.705.429.812
organothiophosphonates,d02.705.539.692
organothiophosphonates,d02.886.300.846
organothiophosphates,d02.705.400.625
organothiophosphates,d02.705.539.345
organothiophosphates,d02.886.300.692
noninvasive ventilation,e02.041.625.591
noninvasive ventilation,e02.880.820.657
phosphoramides,d01.029.260.700.675.374.425
phosphoramides,d01.695.625.675.650.425
phosphoramides,d02.705.672
food assistance,i01.880.787.839.500
food assistance,n03.219.521.346.506.281
transgender persons,m01.777.500
balloon embolectomy,e02.148.093
balloon embolectomy,e04.100.814.445.500
balloon embolectomy,e05.157.032
balloon valvuloplasty,e02.148.108
balloon valvuloplasty,e05.157.125
secondary care,n04.452.758.849.775
secondary care,n05.300.745
tertiary healthcare,n04.452.758.849.887
tertiary healthcare,n05.300.787
parental death,c23.550.260.730
parental death,i01.880.735.607
maternal death,c13.703.401
maternal death,c23.550.260.730.500
maternal death,i01.880.735.607.500
connectome,e01.370.350.578.875.500.249
connectome,e01.370.376.537.625.500.249
connectome,e05.629.875.500.500
polycomb-group proteins,d05.500.781
polycomb-group proteins,d12.776.660.235.600
polycomb-group proteins,d12.776.664.235.800
polycomb-group proteins,d12.776.930.780.890
animal distribution,f01.145.113.069
animal distribution,g16.049
plant dispersal,g15.620
polycomb repressive complex 1,d05.500.781.100
polycomb repressive complex 1,d08.811.464.938.750.280
polycomb repressive complex 1,d12.776.660.235.600.100
polycomb repressive complex 1,d12.776.664.235.800.100
polycomb repressive complex 1,d12.776.930.780.890.100
polycomb repressive complex 2,d05.500.781.750
polycomb repressive complex 2,d08.811.913.555.500.800.200.500.500
polycomb repressive complex 2,d12.776.660.235.600.200
polycomb repressive complex 2,d12.776.664.235.800.200
polycomb repressive complex 2,d12.776.930.780.890.200
mitochondrial dynamics,g04.599.750
neurotology,h02.403.600.500
neurotology,h02.403.810.526.500
maxillary osteotomy,e06.645.562.750
mandibular osteotomy,e06.645.562.374
dentofacial deformities,c05.660.207.540.229
dentofacial deformities,c07.650.500.229
dentofacial deformities,c16.131.621.207.540.315
dentofacial deformities,c16.131.850.500.229
corneal pachymetry,e01.370.380.112
genioplasty,e06.645.562.249
retrognathia,c05.500.460.827
retrognathia,c05.660.207.540.460.827
retrognathia,c07.320.440.827
retrognathia,c07.320.610.827
retrognathia,c07.650.500.460.827
retrognathia,c16.131.621.207.540.460.827
retrognathia,c16.131.850.500.460.827
mandibular reconstruction,e06.645.562.500
pulse wave analysis,e01.370.370.680
epigenetic repression,g05.308.203.311
uterine myomectomy,e04.950.300.941
nursing stations,n02.278.388.620
rana clamitans,b01.050.150.900.090.180.708.210
symptom assessment,e01.370.872
odonata,b01.050.500.131.617.720.750.750
"pregnancy, heterotopic",c13.703.733.650
heavy ion radiotherapy,e02.815.250
adventitia,a07.015.057
adventitia,a10.165.189
pneumorrhachis,c10.228.854.583
n-terminal acetyltransferases,d08.811.913.050.134.423
methionyl aminopeptidases,d08.811.277.656.350.100.633
n-terminal acetyltransferase a,d08.811.913.050.134.423.100
n-terminal acetyltransferase b,d08.811.913.050.134.423.200
n-terminal acetyltransferase c,d08.811.913.050.134.423.300
n-terminal acetyltransferase d,d08.811.913.050.134.415.500.074
n-terminal acetyltransferase d,d08.811.913.050.134.423.400
n-terminal acetyltransferase e,d08.811.913.050.134.423.500
n-terminal acetyltransferase f,d08.811.913.050.134.423.600
organically modified ceramics,d02.715.312
organically modified ceramics,d05.750.593
organically modified ceramics,d25.339.291.551
organically modified ceramics,d25.720.593
organically modified ceramics,j01.637.051.339.291.476
organically modified ceramics,j01.637.051.720.628
organically modified ceramics,j01.637.153.688
central pattern generators,a08.511.500
plant development,g07.345.625
plant development,g15.589
"organogenesis, plant",g07.345.500.325.377.765
"organogenesis, plant",g15.525
sialic acid binding immunoglobulin-like lectins,d12.776.503.921
sialic acid binding ig-like lectin 1,d12.776.503.921.100
sialic acid binding ig-like lectin 3,d12.776.503.921.400
sialic acid binding ig-like lectin 3,d23.050.301.264.900.565
sialic acid binding ig-like lectin 3,d23.101.100.900.565
mitochondrial turnover,g04.599
fibrin clot lysis time,e01.370.225.625.265
fibrin clot lysis time,e05.200.625.265
fibrin clot lysis time,g09.188.315
brown recluse spider,b01.050.500.131.166.803.600
organ dysfunction scores,e05.318.308.980.438.475.456.500.625
organ dysfunction scores,n05.715.360.300.800.438.375.364.500.625
organ dysfunction scores,n06.850.520.308.980.438.475.364.500.625
mitochondrial degradation,g04.599.500
au rich elements,g02.111.570.080.689.687.061
au rich elements,g05.360.080.689.687.061
au rich elements,g05.360.340.024.220.880.880.500
au rich elements,g05.360.340.024.340.137.910.880.500
myelin-oligodendrocyte glycoprotein,d12.776.395.550.114.500
myelin-oligodendrocyte glycoprotein,d12.776.543.550.195.500
myelin-oligodendrocyte glycoprotein,d12.776.543.620.550
myelin-oligodendrocyte glycoprotein,d12.776.631.580.530
myelin-oligodendrocyte glycoprotein,d23.050.422.625
"2',3'-cyclic nucleotide 3'-phosphodiesterase",d08.811.277.352.640.160.500
"2',3'-cyclic nucleotide 3'-phosphodiesterase",d12.776.631.580.124
tiapride hydrochloride,d02.092.471.869
tiapride hydrochloride,d02.241.223.100.100.933
tiapride hydrochloride,d02.455.426.559.389.127.085.933
exosome multienzyme ribonuclease complex,d05.500.562.405
exosome multienzyme ribonuclease complex,d08.811.277.352.700.687
exosome multienzyme ribonuclease complex,d08.811.600.283
oligodendrocyte-myelin glycoprotein,d12.776.395.550.448.775
oligodendrocyte-myelin glycoprotein,d12.776.543.484.500.775
oligodendrocyte-myelin glycoprotein,d12.776.543.550.418.775
oligodendrocyte-myelin glycoprotein,d12.776.543.620.895
oligodendrocyte-myelin glycoprotein,d12.776.631.580.895
singing,g09.772.585.500
native polyacrylamide gel electrophoresis,e05.196.401.402.625
native polyacrylamide gel electrophoresis,e05.301.300.319.725
genocide,i01.198.240.903.149
genocide,i01.880.735.950.500.903.149
estuaries,g01.311.625.540
virtual reality exposure therapy,f04.754.137.506.662
balkan peninsula,z01.542.101
literature based discovery,l01.178.682.099.325.750
myringosclerosis,c09.218.636
physical therapist assistants,m01.526.485.067.738
physical therapist assistants,n02.360.067.732
hand hygiene,e02.547.300
hand hygiene,n06.850.670.150
cannabinoid receptor modulators,d27.505.519.625.085
cannabinoid receptor modulators,d27.505.696.399.472.188
cannabinoid receptor agonists,d27.505.519.625.085.500
cannabinoid receptor agonists,d27.505.696.399.472.188.500
cannabinoid receptor antagonists,d27.505.519.625.085.750
cannabinoid receptor antagonists,d27.505.696.399.472.188.750
endocannabinoids,d10.251.265
anatomic variation,g07.049
anatomic variation,g16.117.500
binge drinking,c25.775.100.437
binge drinking,f01.145.317.269.500
binge drinking,f03.900.100.550
human migration,i01.240.600.525
human migration,n01.224.625.525
human migration,n06.850.505.400.700.525
food quality,j01.576.423.850.730
food quality,n06.850.601
skin cream,e02.547.800.500
skin cream,j01.516.213.249
respiratory aspiration of gastric contents,c06.405.117.119.500.484.500.500
respiratory aspiration of gastric contents,c08.618.749.500
respiratory aspiration of gastric contents,c23.550.773.500
acanthocheilonemiasis,c03.335.508.700.750.361.137
acanthocheilonema,b01.050.500.500.294.400.937.463.043
prescription drug misuse,e02.319.306.500
racism,f01.145.813.550.500
racism,f01.145.813.629.625
racism,f01.829.595.500
racism,i01.880.735.820.500.500
ageism,f01.145.813.550.249
ageism,f01.145.813.629.500
ageism,f01.829.595.249
sexism,f01.145.813.550.750
sexism,f01.145.813.629.750
sexism,f01.829.595.750
social discrimination,f01.145.813.629
homophobia,f01.145.813.550.374
homophobia,f01.145.813.629.562
homophobia,f01.829.595.374
personal narratives as topic,k01.517.211.753
apicoplasts,a11.284.430.214.190.875.700.069
biodegradable plastics,d05.750.716.195
biodegradable plastics,d25.720.716.195
biodegradable plastics,j01.637.051.720.716.195
"social validity, research",h01.770.644.932
national longitudinal study of adolescent health,e05.318.372.500.750.500.500
national longitudinal study of adolescent health,n05.715.360.330.500.750.500.500
national longitudinal study of adolescent health,n06.850.520.450.500.750.500.500
dander,a12.200.250
carcinogenesis,c04.697.098
carcinogenesis,c23.550.727.098
fetal alcohol spectrum disorders,c13.703.277.220
fetal alcohol spectrum disorders,c16.300.070
fetal alcohol spectrum disorders,c25.775.100.087.323
delusional parasitosis,f03.700.356
secondary care centers,n02.278.421.745
sublingual immunotherapy,e02.095.465.425.450.310.500
sublingual immunotherapy,e05.478.610.310.500
"rickets, hypophosphatemic",c05.116.198.816.875
"rickets, hypophosphatemic",c18.452.104.816.875
"rickets, hypophosphatemic",c18.452.174.845.875
"rickets, hypophosphatemic",c18.452.750.400.750
"rickets, hypophosphatemic",c18.654.521.500.133.770.734.875
mobile applications,l01.224.900.685
methanocaldococcaceae,b02.200.538.262
methanocaldococcus,b02.200.538.262.500
bland white garland syndrome,c14.240.400.210.249
bland white garland syndrome,c14.240.850.984.500.500
bland white garland syndrome,c14.280.400.210.249
bland white garland syndrome,c14.907.933.110.500
bland white garland syndrome,c16.131.240.400.210.249
bland white garland syndrome,c16.131.240.850.500.500
bland white garland syndrome,c23.300.575.950.150.500
pediatric obesity,c18.654.726.500.720
pediatric obesity,c23.888.144.699.500.750
pediatric obesity,e01.370.600.115.100.160.120.699.500.750
pediatric obesity,g07.100.100.160.120.699.500.750
myalgia,c05.651.542
myalgia,c10.668.491.525
myalgia,c23.888.592.612.547.249
myalgia,f02.830.816.353.500
myalgia,g11.561.790.353.500
dandruff,c17.800.174.146
dandruff,c17.800.738.353
satellite imagery,e05.925.500.500
satellite imagery,l01.178.847.550.500
satellite imagery,l01.178.847.675.500.500
kosovo,z01.542.248.506
mean platelet volume,e01.370.225.625.625.392
mean platelet volume,e05.200.625.625.392
mean platelet volume,g04.325.500
medical identity theft,i01.198.240.300.249.500
identity theft,i01.198.240.300.249
patient outcome assessment,n04.761.559.590.399
patient outcome assessment,n05.715.360.575.575.399
patient discharge summaries,n04.452.859.564.725
patient discharge summaries,n05.715.360.300.715.500.665
patient discharge summaries,n06.850.520.308.940.968.750
prisoners of war,m01.729.500
drug hypersensitivity syndrome,c17.800.174.600.262
drug hypersensitivity syndrome,c20.543.206.380.262
drug hypersensitivity syndrome,c25.100.468.380.262
lujo virus,b04.820.057.070.100.525
ependymoglial cells,a08.637.300
ependymoglial cells,a11.650.300
enslavement,i01.880.735.384.350
enslaved persons,m01.210
material safety data sheets,n04.452.871.900.500
material safety data sheets,n06.850.135.060.075.800.500
vascularized composite allotransplantation,e04.936.450.825
hand transplantation,e04.936.450.825.500
3-hydroxyacyl-coa dehydrogenase,d08.811.682.047.820.150.207
long-chain-3-hydroxyacyl-coa dehydrogenase,d08.811.682.047.820.150.707
gene ontology,h01.158.273.343.249.099
gene ontology,h01.770.644.145.350.124
gene ontology,l01.224.050.375.480.500.500
gene ontology,l01.313.500.750.300.550.500.500
gene ontology,l01.453.245.945.079.500
mitochondrial trifunctional protein,d08.811.520.241.300.250.249
mitochondrial trifunctional protein,d08.811.641.765
mitochondrial trifunctional protein,d08.811.682.047.820.150.707.249
mitochondrial trifunctional protein,d08.811.913.050.080.249
mitochondrial trifunctional protein,d12.776.543.602
mitochondrial trifunctional protein,d12.776.575.765
"mitochondrial trifunctional protein, alpha subunit",d08.811.520.241.300.250.249.500
"mitochondrial trifunctional protein, alpha subunit",d08.811.641.765.200
"mitochondrial trifunctional protein, alpha subunit",d08.811.682.047.820.150.707.249.500
"mitochondrial trifunctional protein, alpha subunit",d12.776.543.602.200
"mitochondrial trifunctional protein, alpha subunit",d12.776.575.765.200
"mitochondrial trifunctional protein, beta subunit",d08.811.641.765.500
"mitochondrial trifunctional protein, beta subunit",d08.811.913.050.080.249.500
"mitochondrial trifunctional protein, beta subunit",d12.776.543.602.500
"mitochondrial trifunctional protein, beta subunit",d12.776.575.765.500
peroxisomal bifunctional enzyme,d08.811.399.475.400.349.500
peroxisomal bifunctional enzyme,d08.811.520.241.300.250.750
peroxisomal bifunctional enzyme,d08.811.641.781
peroxisomal bifunctional enzyme,d08.811.682.047.820.150.207.500
warm-up exercise,g11.427.410.698.277.968
warm-up exercise,i03.350.968
dodecenoyl-coa isomerase,d08.811.399.475.400.349
ataxia telangiectasia mutated proteins,d08.811.913.696.620.682.700.097
ataxia telangiectasia mutated proteins,d12.776.157.687.125
ataxia telangiectasia mutated proteins,d12.776.660.720.125
enoyl-coa hydratase 2,d08.811.520.241.300.275
calbindins,d12.776.157.125.090
tracheophyta,b01.650.940.800.575.912
peroxisomal multifunctional protein-2,d08.811.520.241.300.275.500
peroxisomal multifunctional protein-2,d08.811.641.812
peroxisomal multifunctional protein-2,d08.811.682.047.436.375.640
peroxisomal multifunctional protein-2,d08.811.682.047.820.150.926
s100 calcium binding protein g,d12.776.157.125.090.500
s100 calcium binding protein g,d12.776.157.125.750.750
calbindin 2,d12.776.157.125.090.249
secretagogins,d12.776.157.125.787
spindle poles,a11.284.430.214.190.750.820.500
spindle pole bodies,a11.284.430.214.190.750.585.580
spindle pole bodies,a11.284.430.214.190.750.820.500.750
rho guanine nucleotide exchange factors,d12.644.360.325.300.099
rho guanine nucleotide exchange factors,d12.776.476.325.300.099
collagenous sprue,c06.405.469.637.378
collagenous sprue,c18.452.603.314
medical marijuana,d26.528
head impulse test,e01.370.382.900.640
hazard analysis and critical control points,j01.576.423.850.730.500.750
hazard analysis and critical control points,n06.850.135.060.075.299
hazard analysis and critical control points,n06.850.601.500.750
allelopathy,g16.024
intraocular lymphoma,c04.557.386.435
intraocular lymphoma,c04.588.364.447
intraocular lymphoma,c15.604.515.569.417
intraocular lymphoma,c20.683.515.761.417
waste disposal facilities,n06.850.780.200.800.800.900.449
waste disposal facilities,n06.850.860.510.900.700
calbindin 1,d12.776.157.125.090.124
